,Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
23,14 June 1980 (1980-06-14),17:45,Germany,Netherlands,3,2,Group 1,,Stadio San Paolo, Naples,29889,1980
24,14 June 1980 (1980-06-14),20:30,Greece,Czechoslovakia,1,3,Group 1,,Stadio Olimpico, Rome,7614,1980
25,17 June 1980 (1980-06-17),17:45,Netherlands,Czechoslovakia,1,1,Group 1,,San Siro, Milan,11889,1980
26,17 June 1980 (1980-06-17),20:30,Greece,Germany,0,0,Group 1,,Stadio Comunale, Turin,13901,1980
27,12 June 1980 (1980-06-12),17:45,Belgium,England,1,1,Group 2,,Stadio Comunale, Turin,15186,1980
28,12 June 1980 (1980-06-12),20:30,Spain,Italy,0,0,Group 2,,San Siro, Milan,46337,1980
29,15 June 1980 (1980-06-15),17:45,Belgium,Spain,2,1,Group 2,,San Siro, Milan,11430,1980
30,15 June 1980 (1980-06-15),20:30,England,Italy,0,1,Group 2,,Stadio Comunale, Turin,59649,1980
31,18 June 1980 (1980-06-18),17:45,Spain,England,1,2,Group 2,,Stadio San Paolo, Naples,14440,1980
32,18 June 1980 (1980-06-18),20:30,Italy,Belgium,0,0,Group 2,,Stadio Olimpico, Rome,42318,1980
33,21 June 1980 (1980-06-21),20:30,Czechoslovakia,Italy,1,1,Third place play-off,,Stadio San Paolo, Naples,24652,1980
34,22 June 1980 (1980-06-22),20:30,Belgium,Germany,1,2,Final,,Stadio Olimpico, Rome,47860,1980
35,12 June 1984 (1984-06-12),20:30,France,Denmark,1,0,Group 1,,Parc des Princes, Paris,47570,1984
36,13 June 1984 (1984-06-13),20:30,Belgium,Yugoslavia,2,0,Group 1,,Stade Félix-Bollaert, Lens,41525,1984
37,16 June 1984 (1984-06-16),17:15,France,Belgium,5,0,Group 1,,Stade de la Beaujoire, Nantes,51359,1984
38,16 June 1984 (1984-06-16),20:30,Denmark,Yugoslavia,5,0,Group 1,,Stade de Gerland, Lyon,34736,1984
39,19 June 1984 (1984-06-19),20:30,France,Yugoslavia,3,2,Group 1,,Stade Geoffroy-Guichard, Saint-Étienne,47510,1984
40,19 June 1984 (1984-06-19),20:30,Denmark,Belgium,3,2,Group 1,,Stade de la Meinau, Strasbourg,36911,1984
41,14 June 1984 (1984-06-14),17:15,Germany,Portugal,0,0,Group 2,,Stade de la Meinau, Strasbourg,44707,1984
42,14 June 1984 (1984-06-14),20:30,Romania,Spain,1,1,Group 2,,Stade Geoffroy-Guichard, Saint-Étienne,16972,1984
43,17 June 1984 (1984-06-17),17:15,Germany,Romania,2,1,Group 2,,Stade Félix-Bollaert, Lens,31787,1984
44,17 June 1984 (1984-06-17),20:30,Portugal,Spain,1,1,Group 2,,Stade Vélodrome, Marseille,24364,1984
45,20 June 1984 (1984-06-20),20:30,Germany,Spain,0,1,Group 2,,Parc des Princes, Paris,47691,1984
46,20 June 1984 (1984-06-20),20:30,Portugal,Romania,1,0,Group 2,,Stade de la Beaujoire, Nantes,24464,1984
47,23 June 1984 (1984-06-23),20:00,France,Portugal,3,2,Semi-finals,France  win after extra time ,Stade Vélodrome, Marseille,54848,1984
48,24 June 1984 (1984-06-24),20:00,Denmark,Spain,1,1,Semi-finals, Spain win on Penalities 4–5,Stade de Gerland, Lyon,47843,1984
49,27 June 1984 (1984-06-27),20:00,France,Spain,2,0,Final,,Parc des Princes, Paris,47368,1984
50,10 June 1988 (1988-06-10),20:15,Germany,Italy,1,1,Group 1,,Rheinstadion, Düsseldorf,62552,1988
51,11 June 1988 (1988-06-11),15:30,Denmark,Spain,2,3,Group 1,,Niedersachsenstadion, Hanover,55707,1988
52,14 June 1988 (1988-06-14),17:15,Germany,Denmark,2,0,Group 1,,Parkstadion, Gelsenkirchen,64812,1988
53,14 June 1988 (1988-06-14),20:15,Italy,Spain,1,0,Group 1,,Waldstadion, Frankfurt,47506,1988
54,17 June 1988 (1988-06-17),20:15,Germany,Spain,2,0,Group 1,,Olympiastadion, Munich,63802,1988
55,17 June 1988 (1988-06-17),20:15,Italy,Denmark,2,0,Group 1,,Müngersdorfer Stadion, Cologne,53951,1988
56,12 June 1988 (1988-06-12),15:30,England,Republic of Ireland,0,1,Group 2,,Neckarstadion, Stuttgart,51373,1988
57,12 June 1988 (1988-06-12),20:15,Netherlands,Russia,0,1,Group 2,,Müngersdorfer Stadion, Cologne,54336,1988
58,15 June 1988 (1988-06-15),17:15,England,Netherlands,1,3,Group 2,,Rheinstadion, Düsseldorf,63940,1988
59,15 June 1988 (1988-06-15),20:15,Republic of Ireland,Russia,1,1,Group 2,,Niedersachsenstadion, Hanover,38308,1988
60,18 June 1988 (1988-06-18),15:30,England,Russia,1,3,Group 2,,Waldstadion, Frankfurt,48335,1988
61,18 June 1988 (1988-06-18),15:30,Republic of Ireland,Netherlands,0,1,Group 2,,Parkstadion, Gelsenkirchen,64731,1988
62,21 June 1988 (1988-06-21),20:15,Germany,Netherlands,1,2,Semi-finals,,Volksparkstadion, Hamburg,56115,1988
63,22 June 1988 (1988-06-22),20:15,Russia,Italy,2,0,Semi-finals,,Neckarstadion, Stuttgart,61606,1988
64,25 June 1988 (1988-06-25),15:30,Russia,Netherlands,0,2,Final,,Olympiastadion, Munich,62770,1988
65,10 June 1992 (1992-06-10),20:15,Sweden,France,1,1,Group 1,,Råsunda Stadium, Solna,29860,1992
66,11 June 1992 (1992-06-11),20:15,Denmark,England,0,0,Group 1,,Malmö Stadion, Malmö,26385,1992
67,14 June 1992 (1992-06-14),17:15,France,England,0,0,Group 1,,Malmö Stadion, Malmö,26535,1992
68,14 June 1992 (1992-06-14),20:15,Sweden,Denmark,1,0,Group 1,,Råsunda Stadium, Solna,29902,1992
69,17 June 1992 (1992-06-17),20:15,Sweden,England,2,1,Group 1,,Råsunda Stadium, Solna,30126,1992
70,17 June 1992 (1992-06-17),20:15,France,Denmark,1,2,Group 1,,Malmö Stadion, Malmö,25763,1992
71,12 June 1992 (1992-06-12),17:15,Netherlands,Scotland,1,0,Group 2,,Ullevi, Gothenburg,35720,1992
72,12 June 1992 (1992-06-12),20:15,CIS,Germany,1,1,Group 2,,Idrottsparken, Norrköping,17410,1992
73,15 June 1992 (1992-06-15),17:15,Scotland,Germany,0,2,Group 2,,Idrottsparken, Norrköping,17638,1992
74,15 June 1992 (1992-06-15),20:15,Netherlands,CIS,0,0,Group 2,,Ullevi, Gothenburg,34440,1992
75,18 June 1992 (1992-06-18),20:15,Netherlands,Germany,3,1,Group 2,,Ullevi, Gothenburg,37725,1992
76,18 June 1992 (1992-06-18),20:15,Scotland,CIS,3,0,Group 2,,Idrottsparken, Norrköping,14660,1992
77,21 June 1992 (1992-06-21),20:15,Sweden,Germany,2,3,Semi-finals,,Råsunda Stadium, Solna,28827,1992
78,22 June 1992 (1992-06-22),20:15,Netherlands,Denmark,2,2,Semi-finals, Denmark win on Penalities 4–5,Ullevi, Gothenburg,37450,1992
79,26 June 1992 (1992-06-26),20:15,Denmark,Germany,2,0,Final,,Ullevi, Gothenburg,37800,1992
80,8 June 1996 (1996-06-08),15:00,England,Switzerland,1,1,Group A,,Wembley Stadium, London,76567,1996
81,10 June 1996 (1996-06-10),16:30,Netherlands,Scotland,0,0,Group A,,Villa Park, Birmingham,34363,1996
82,13 June 1996 (1996-06-13),19:30,Switzerland,Netherlands,0,2,Group A,,Villa Park, Birmingham,36800,1996
83,15 June 1996 (1996-06-15),15:00,Scotland,England,0,2,Group A,,Wembley Stadium, London,76864,1996
84,18 June 1996 (1996-06-18),19:30,Scotland,Switzerland,1,0,Group A,,Villa Park, Birmingham,34926,1996
85,18 June 1996 (1996-06-18),19:30,Netherlands,England,1,4,Group A,,Wembley Stadium, London,76798,1996
86,9 June 1996 (1996-06-09),14:30,Spain,Bulgaria,1,1,Group B,,Elland Road, Leeds,24006,1996
87,10 June 1996 (1996-06-10),19:30,Romania,France,0,1,Group B,,St James' Park, Newcastle,26323,1996
88,13 June 1996 (1996-06-13),16:30,Bulgaria,Romania,1,0,Group B,,St James' Park, Newcastle,19107,1996
89,15 June 1996 (1996-06-15),18:00,France,Spain,1,1,Group B,,Elland Road, Leeds,35626,1996
90,18 June 1996 (1996-06-18),16:30,France,Bulgaria,3,1,Group B,,St James' Park, Newcastle,26976,1996
91,18 June 1996 (1996-06-18),16:30,Romania,Spain,1,2,Group B,,Elland Road, Leeds,32719,1996
92,9 June 1996 (1996-06-09),17:00,Germany,Czech Republic,2,0,Group C,,Old Trafford, Manchester,37300,1996
93,11 June 1996 (1996-06-11),16:30,Italy,Russia,2,1,Group C,,Anfield, Liverpool,35120,1996
94,14 June 1996 (1996-06-14),19:30,Czech Republic,Italy,2,1,Group C,,Anfield, Liverpool,37320,1996
95,16 June 1996 (1996-06-16),15:00,Russia,Germany,0,3,Group C,,Old Trafford, Manchester,50760,1996
96,19 June 1996 (1996-06-19),19:30,Russia,Czech Republic,3,3,Group C,,Anfield, Liverpool,21128,1996
97,19 June 1996 (1996-06-19),19:30,Italy,Germany,0,0,Group C,,Old Trafford, Manchester,53740,1996
98,9 June 1996 (1996-06-09),19:30,Denmark,Portugal,1,1,Group D,,Hillsborough, Sheffield,34993,1996
99,11 June 1996 (1996-06-11),19:30,Turkey,Croatia,0,1,Group D,,City Ground, Nottingham,22460,1996
100,14 June 1996 (1996-06-14),16:30,Portugal,Turkey,1,0,Group D,,City Ground, Nottingham,22670,1996
101,16 June 1996 (1996-06-16),18:00,Croatia,Denmark,3,0,Group D,,Hillsborough, Sheffield,33671,1996
102,19 June 1996 (1996-06-19),16:30,Croatia,Portugal,0,3,Group D,,City Ground, Nottingham,20484,1996
103,19 June 1996 (1996-06-19),16:30,Turkey,Denmark,0,3,Group D,,Hillsborough, Sheffield,28951,1996
104,22 June 1996 (1996-06-22),15:00,Spain,England,0,0,Quarter-finals, England win on Penalities 2–4,Wembley Stadium, London,75440,1996
105,22 June 1996 (1996-06-22),18:30,France,Netherlands,0,0,Quarter-finals,France  win on Penalities 5–4,Anfield, Liverpool,37465,1996
106,23 June 1996 (1996-06-23),15:00,Germany,Croatia,2,1,Quarter-finals,,Old Trafford, Manchester,43412,1996
107,23 June 1996 (1996-06-23),18:30,Czech Republic,Portugal,1,0,Quarter-finals,,Villa Park, Birmingham,26832,1996
108,26 June 1996 (1996-06-26),16:00,France,Czech Republic,0,0,Semi-finals, Czech Republic win on Penalities 5–6,Old Trafford, Manchester,43877,1996
109,26 June 1996 (1996-06-26),19:30,Germany,England,1,1,Semi-finals,Germany  win on Penalities 6–5,Wembley Stadium, London,75862,1996
110,30 June 1996 (1996-06-30),19:00,Czech Republic,Germany,1,2,Final, Germany win after extra time ,Wembley Stadium, London,73611,1996
111,12 June 2000 (2000-06-12),18:00,Germany,Romania,1,1,Group A,,Stade Maurice Dufrasne, Liège,28500,2000
112,12 June 2000 (2000-06-12),20:45,Portugal,England,3,2,Group A,,Philips Stadion, Eindhoven,31500,2000
113,17 June 2000 (2000-06-17),18:00,Romania,Portugal,0,1,Group A,,GelreDome, Arnhem,28400,2000
114,17 June 2000 (2000-06-17),20:45,England,Germany,1,0,Group A,,Stade du Pays de Charleroi, Charleroi,29000,2000
115,20 June 2000 (2000-06-20),20:45,England,Romania,2,3,Group A,,Stade du Pays de Charleroi, Charleroi,30000,2000
116,20 June 2000 (2000-06-20),20:45,Portugal,Germany,3,0,Group A,,Feijenoord Stadion, Rotterdam,44000,2000
117,10 June 2000 (2000-06-10),20:45,Belgium,Sweden,2,1,Group B,,King Baudouin Stadium, Brussels,46700,2000
118,11 June 2000 (2000-06-11),14:30,Turkey,Italy,1,2,Group B,,GelreDome, Arnhem,22500,2000
119,14 June 2000 (2000-06-14),20:45,Italy,Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,44500,2000
120,15 June 2000 (2000-06-15),20:45,Sweden,Turkey,0,0,Group B,,Philips Stadion, Eindhoven,27000,2000
121,19 June 2000 (2000-06-19),20:45,Turkey,Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,48000,2000
122,19 June 2000 (2000-06-19),20:45,Italy,Sweden,2,1,Group B,,Philips Stadion, Eindhoven,30000,2000
123,13 June 2000 (2000-06-13),18:00,Spain,Norway,0,1,Group C,,Feijenoord Stadion, Rotterdam,41000,2000
124,13 June 2000 (2000-06-13),20:45,FR Yugoslavia,Slovenia,3,3,Group C,,Stade du Pays de Charleroi, Charleroi,18500,2000
125,18 June 2000 (2000-06-18),18:00,Slovenia,Spain,1,2,Group C,,Amsterdam Arena, Amsterdam,51300,2000
126,18 June 2000 (2000-06-18),20:45,Norway,FR Yugoslavia,0,1,Group C,,Stade Maurice Dufrasne, Liège,28750,2000
127,21 June 2000 (2000-06-21),18:00,FR Yugoslavia,Spain,3,4,Group C,,Jan Breydel Stadium, Bruges,26611,2000
128,21 June 2000 (2000-06-21),18:00,Slovenia,Norway,0,0,Group C,,GelreDome, Arnhem,21000,2000
129,11 June 2000 (2000-06-11),18:00,France,Denmark,3,0,Group D,,Jan Breydel Stadium, Bruges,28100,2000
130,11 June 2000 (2000-06-11),20:45,Netherlands,Czech Republic,1,0,Group D,,Amsterdam Arena, Amsterdam,50800,2000
131,16 June 2000 (2000-06-16),18:00,Czech Republic,France,1,2,Group D,,Jan Breydel Stadium, Bruges,27243,2000
132,16 June 2000 (2000-06-16),20:45,Denmark,Netherlands,0,3,Group D,,Feijenoord Stadion, Rotterdam,51425,2000
133,21 June 2000 (2000-06-21),20:45,Denmark,Czech Republic,0,2,Group D,,Stade Maurice Dufrasne, Liège,20000,2000
134,21 June 2000 (2000-06-21),20:45,France,Netherlands,2,3,Group D,,Amsterdam Arena, Amsterdam,50000,2000
135,24 June 2000 (2000-06-24),18:00,Turkey,Portugal,0,2,Quarter-finals,,Amsterdam Arena, Amsterdam,42000,2000
136,24 June 2000 (2000-06-24),20:45,Italy,Romania,2,0,Quarter-finals,,King Baudouin Stadium, Brussels,41000,2000
137,25 June 2000 (2000-06-25),18:00,Netherlands,FR Yugoslavia,6,1,Quarter-finals,,Feijenoord Stadion, Rotterdam,44000,2000
138,25 June 2000 (2000-06-25),20:45,Spain,France,1,2,Quarter-finals,,Jan Breydel Stadium, Bruges,26614,2000
139,28 June 2000 (2000-06-28),20:45,France,Portugal,2,1,Semi-finals,France  win after extra time ,King Baudouin Stadium, Brussels,48000,2000
140,29 June 2000 (2000-06-29),18:00,Italy,Netherlands,0,0,Semi-finals,Italy  win on Penalities 3–1,Amsterdam Arena, Amsterdam,50000,2000
141,2 July 2000 (2000-07-02),20:00,France,Italy,2,1,Final,France  win after extra time ,De Kuip, Rotterdam,48200,2000
142,12 June 2004 (2004-06-12),17:00,Portugal,Greece,1,2,Group A,,Estádio do Dragão, Porto,48761,2004
143,12 June 2004 (2004-06-12),19:45,Spain,Russia,1,0,Group A,,Estádio Algarve, Faro/Loulé,28182,2004
144,16 June 2004 (2004-06-16),17:00,Greece,Spain,1,1,Group A,,Estádio do Bessa, Porto,25444,2004
145,16 June 2004 (2004-06-16),19:45,Russia,Portugal,0,2,Group A,,Estádio da Luz, Lisbon,59273,2004
146,20 June 2004 (2004-06-20),19:45,Spain,Portugal,0,1,Group A,,Estádio José Alvalade, Lisbon,47491,2004
147,20 June 2004 (2004-06-20),19:45,Russia,Greece,2,1,Group A,,Estádio Algarve, Faro/Loulé,24347,2004
148,13 June 2004 (2004-06-13),17:00,Switzerland,Croatia,0,0,Group B,,Estádio Dr. Magalhães Pessoa, Leiria,24090,2004
149,13 June 2004 (2004-06-13),19:45,France,England,2,1,Group B,,Estádio da Luz, Lisbon,62487,2004
150,17 June 2004 (2004-06-17),17:00,England,Switzerland,3,0,Group B,,Estádio Cidade de Coimbra, Coimbra,28214,2004
151,17 June 2004 (2004-06-17),19:45,Croatia,France,2,2,Group B,,Estádio Dr. Magalhães Pessoa, Leiria,29160,2004
152,21 June 2004 (2004-06-21),19:45,Croatia,England,2,4,Group B,,Estádio da Luz, Lisbon,57047,2004
153,21 June 2004 (2004-06-21),19:45,Switzerland,France,1,3,Group B,,Estádio Cidade de Coimbra, Coimbra,28111,2004
154,14 June 2004 (2004-06-14),17:00,Denmark,Italy,0,0,Group C,,Estádio D. Afonso Henriques, Guimarães,19595,2004
155,14 June 2004 (2004-06-14),19:45,Sweden,Bulgaria,5,0,Group C,,Estádio José Alvalade, Lisbon,31652,2004
156,18 June 2004 (2004-06-18),17:00,Bulgaria,Denmark,0,2,Group C,,Estádio Municipal de Braga, Braga,24131,2004
157,18 June 2004 (2004-06-18),19:45,Italy,Sweden,1,1,Group C,,Estádio do Dragão, Porto,44926,2004
158,22 June 2004 (2004-06-22),19:45,Italy,Bulgaria,2,1,Group C,,Estádio D. Afonso Henriques, Guimarães,16002,2004
159,22 June 2004 (2004-06-22),19:45,Denmark,Sweden,2,2,Group C,,Estádio do Bessa, Porto,26115,2004
160,15 June 2004 (2004-06-15),17:00,Czech Republic,Latvia,2,1,Group D,,Estádio Municipal de Aveiro, Aveiro,21744,2004
161,15 June 2004 (2004-06-15),19:45,Germany,Netherlands,1,1,Group D,,Estádio do Dragão, Porto,48197,2004
162,19 June 2004 (2004-06-19),17:00,Latvia,Germany,0,0,Group D,,Estádio do Bessa, Porto,22344,2004
163,19 June 2004 (2004-06-19),19:45,Netherlands,Czech Republic,2,3,Group D,,Estádio Municipal de Aveiro, Aveiro,29935,2004
164,23 June 2004 (2004-06-23),19:45,Netherlands,Latvia,3,0,Group D,,Estádio Municipal de Braga, Braga,27904,2004
165,23 June 2004 (2004-06-23),19:45,Germany,Czech Republic,1,2,Group D,,Estádio José Alvalade, Lisbon,46849,2004
166,24 June 2004 (2004-06-24),19:45,Portugal,England,2,2,Quarter-finals,Portugal  win on Penalities 6–5,Estádio da Luz, Lisbon,62564,2004
167,25 June 2004 (2004-06-25),19:45,France,Greece,0,1,Quarter-finals,,Estádio José Alvalade, Lisbon,45390,2004
168,26 June 2004 (2004-06-26),19:45,Sweden,Netherlands,0,0,Quarter-finals, Netherlands win on Penalities 4–5,Estádio Algarve, Faro/Loulé,27762,2004
169,27 June 2004 (2004-06-27),19:45,Czech Republic,Denmark,3,0,Quarter-finals,,Estádio do Dragão, Porto,41092,2004
170,30 June 2004 (2004-06-30),19:45,Portugal,Netherlands,2,1,Semi-finals,,Estádio José Alvalade, Lisbon,46679,2004
171,1 July 2004 (2004-07-01),19:45,Greece,Czech Republic,1,0,Semi-finals,Greece  win after extra time ,Estádio do Dragão, Porto,42449,2004
172,4 July 2004 (2004-07-04),19:45,Portugal,Greece,0,1,Final,,Estádio da Luz, Lisbon,62865,2004
173,7 June 2008 (2008-06-07),18:00,Switzerland,Czech Republic,0,1,Group A,,St. Jakob-Park, Basel,39730,2008
174,7 June 2008 (2008-06-07),20:45,Portugal,Turkey,2,0,Group A,,Stade de Genève, Geneva,29106,2008
175,11 June 2008 (2008-06-11),18:00,Czech Republic,Portugal,1,3,Group A,,Stade de Genève, Geneva,29016,2008
176,11 June 2008 (2008-06-11),20:45,Switzerland,Turkey,1,2,Group A,,St. Jakob-Park, Basel,39730,2008
177,15 June 2008 (2008-06-15),20:45,Switzerland,Portugal,2,0,Group A,,St. Jakob-Park, Basel,39730,2008
178,15 June 2008 (2008-06-15),20:45,Turkey,Czech Republic,3,2,Group A,,Stade de Genève, Geneva,29016,2008
179,8 June 2008 (2008-06-08),18:00,Austria,Croatia,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
180,8 June 2008 (2008-06-08),20:45,Germany,Poland,2,0,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
181,12 June 2008 (2008-06-12),18:00,Croatia,Germany,2,1,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
182,12 June 2008 (2008-06-12),20:45,Austria,Poland,1,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
183,16 June 2008 (2008-06-16),20:45,Poland,Croatia,0,1,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
184,16 June 2008 (2008-06-16),20:45,Austria,Germany,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
185,9 June 2008 (2008-06-09),18:00,Romania,France,0,0,Group C,,Letzigrund, Zürich,30585,2008
186,9 June 2008 (2008-06-09),20:45,Netherlands,Italy,3,0,Group C,,Stade de Suisse, Bern,30777,2008
187,13 June 2008 (2008-06-13),18:00,Italy,Romania,1,1,Group C,,Letzigrund, Zürich,30585,2008
188,13 June 2008 (2008-06-13),20:45,Netherlands,France,4,1,Group C,,Stade de Suisse, Bern,30777,2008
189,17 June 2008 (2008-06-17),20:45,Netherlands,Romania,2,0,Group C,,Stade de Suisse, Bern,30777,2008
190,17 June 2008 (2008-06-17),20:45,France,Italy,0,2,Group C,,Letzigrund, Zürich,30585,2008
191,10 June 2008 (2008-06-10),18:00,Spain,Russia,4,1,Group D,,Tivoli-Neu, Innsbruck,30772,2008
192,10 June 2008 (2008-06-10),20:45,Greece,Sweden,0,2,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
193,14 June 2008 (2008-06-14),18:00,Sweden,Spain,1,2,Group D,,Tivoli-Neu, Innsbruck,30772,2008
194,14 June 2008 (2008-06-14),20:45,Greece,Russia,0,1,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
195,18 June 2008 (2008-06-18),20:45,Greece,Spain,1,2,Group D,,Stadion Wals-Siezenheim, Salzburg,30883,2008
196,18 June 2008 (2008-06-18),20:45,Russia,Sweden,2,0,Group D,,Tivoli-Neu, Innsbruck,30772,2008
197,19 June 2008 (2008-06-19),20:45,Portugal,Germany,2,3,Quarter-finals,,St. Jakob-Park, Basel,39374,2008
198,20 June 2008 (2008-06-20),20:45,Croatia,Turkey,1,1,Quarter-finals, Turkey win on Penalities 1–3,Ernst-Happel-Stadion, Vienna,51428,2008
199,21 June 2008 (2008-06-21),20:45,Netherlands,Russia,1,3,Quarter-finals, Russia win after extra time ,St. Jakob-Park, Basel,38374,2008
200,22 June 2008 (2008-06-22),20:45,Spain,Italy,0,0,Quarter-finals,Spain  win on Penalities 4–2,Ernst-Happel-Stadion, Vienna,51178,2008
201,25 June 2008 (2008-06-25),20:45,Germany,Turkey,3,2,Semi-finals,,St. Jakob-Park, Basel,39374,2008
202,26 June 2008 (2008-06-26),20:45,Russia,Spain,0,3,Semi-finals,,Ernst-Happel-Stadion, Vienna,51428,2008
203,29 June 2008 (2008-06-29),20:45,Germany,Spain,0,1,Final,,Ernst-Happel-Stadion, Vienna,51428,2008
204,8 June 2012 (2012-06-08),18:00 CEST,Poland,Greece,1,1,Group A,,National Stadium, Warsaw,56070,2012
205,8 June 2012 (2012-06-08),20:45 CEST,Russia,Czech Republic,4,1,Group A,,Stadion Miejski, Wrocław,40803,2012
206,12 June 2012 (2012-06-12),18:00 CEST,Greece,Czech Republic,1,2,Group A,,Stadion Miejski, Wrocław,41105,2012
207,12 June 2012 (2012-06-12),20:45 CEST,Poland,Russia,1,1,Group A,,National Stadium, Warsaw,55920,2012
208,16 June 2012 (2012-06-16),20:45 CEST,Czech Republic,Poland,1,0,Group A,,Stadion Miejski, Wrocław,41480,2012
209,16 June 2012 (2012-06-16),20:45 CEST,Greece,Russia,1,0,Group A,,National Stadium, Warsaw,55614,2012
210,9 June 2012 (2012-06-09),19:00 EEST,Netherlands,Denmark,0,1,Group B,,Metalist Stadium, Kharkiv,35923,2012
211,9 June 2012 (2012-06-09),21:45 EEST,Germany,Portugal,1,0,Group B,,Arena Lviv, Lviv,32990,2012
212,13 June 2012 (2012-06-13),19:00 EEST,Denmark,Portugal,2,3,Group B,,Arena Lviv, Lviv,31840,2012
213,13 June 2012 (2012-06-13),21:45 EEST,Netherlands,Germany,1,2,Group B,,Metalist Stadium, Kharkiv,37750,2012
214,17 June 2012 (2012-06-17),21:45 EEST,Portugal,Netherlands,2,1,Group B,,Metalist Stadium, Kharkiv,37445,2012
215,17 June 2012 (2012-06-17),21:45 EEST,Denmark,Germany,1,2,Group B,,Arena Lviv, Lviv,32990,2012
216,10 June 2012 (2012-06-10),18:00 CEST,Spain,Italy,1,1,Group C,,PGE Arena, Gdańsk,38869,2012
217,10 June 2012 (2012-06-10),20:45 CEST,Republic of Ireland,Croatia,1,3,Group C,,Stadion Miejski, Poznań,39550,2012
218,14 June 2012 (2012-06-14),18:00 CEST,Italy,Croatia,1,1,Group C,,Stadion Miejski, Poznań,37096,2012
219,14 June 2012 (2012-06-14),20:45 CEST,Spain,Republic of Ireland,4,0,Group C,,PGE Arena, Gdańsk,39150,2012
